episode,reward,crashed,length
1211,2.451576,1,4
1212,2.757291,1,4
1213,7.074267,1,8
1214,3.556581,1,5
1215,3.761176,1,5
1216,18.754262,1,26
1217,11.851726,1,13
1218,6.561456,1,8
1219,5.39912,1,7
1220,4.969463,1,7
1221,14.379856,1,19
1222,4.764108,1,6
1223,9.205052,1,11
1224,5.204512,1,7
1225,18.3579,1,21
1226,1.960209,1,3
1227,5.924557,1,7
1228,0.989385,1,2
1229,3.277229,1,4
1230,1.600054,1,3
1231,4.955332,1,6
1232,10.206901,1,12
1233,22.000648,1,24
1234,23.308817,0,30
1235,1.597429,1,3
1236,8.601809,1,10
1237,1.764923,1,3
1238,11.561286,1,13
1239,13.070287,1,14
1240,9.201499,1,11
1241,8.760318,1,10
1242,10.756068,1,12
1243,8.163564,1,10
1244,6.753955,1,8
