#{"t_start": 1776087011.1915166, "env_id": "highway-v0"}
r,l,t
3.957206,5,3848.429515
7.758299,9,3851.538022
13.955312,15,3856.772989
6.765956,8,3859.553304
9.792282,11,3863.434765
13.402087,16,3868.963621
5.957167,7,3871.412601
11.959012,13,3875.897096
1.958373,3,3876.954232
3.195822,4,3878.356364
4.792288,6,3880.445617
3.494432,6,3882.564603
5.967203,8,3885.335186
5.788306,7,3887.757045
1.786234,3,3888.831856
11.312238,14,3893.774502
9.957162,11,3897.525806
2.123509,3,3898.555202
27.813403,30,3909.042789
1.764923,3,3910.115762
8.757441,10,3913.617504
2.759509,4,3914.996542
18.0015,25,3923.636096
8.323098,10,3927.081707
4.215161,6,3929.195211
12.992768,14,3933.951703
3.959047,5,3935.718448
1.958373,3,3936.775022
10.081276,14,3941.658818
7.203234,9,3944.812587
4.406377,6,3946.895384
2.284091,4,3948.266991
7.955316,9,3951.399143
6.759295,8,3954.146689
10.360721,14,3959.000576
5.957167,7,3961.401072
1.121128,2,3962.113994
7.054113,8,3964.923426
18.12971,22,3972.435112
11.414479,15,3977.655395
9.479569,12,3981.914183
1.960209,3,3982.957072
14.36654,16,3988.507844
4.812129,7,3990.968271
20.496689,25,3999.706096
6.324468,8,4002.436434
25.003258,27,4011.830867
16.148081,23,4019.881958
1.278391,2,4020.604858
10.201706,12,4024.744601
6.567262,8,4027.603637
7.173976,10,4031.145385
13.052263,14,4036.024092
13.227525,15,4041.255125
24.347994,30,4051.76569
4.790576,6,4053.869821
6.563006,8,4056.658243
10.559435,12,4060.791719
4.957169,6,4062.893012
3.758513,5,4064.694216
23.224315,30,4075.02546
27.610593,30,4085.344982
19.637731,27,4094.701606
5.68306,8,4097.563538
1.124008,2,4098.279016
3.567297,5,4100.05111
2.792487,4,4101.441387
13.36228,15,4106.607536
4.528402,7,4109.04307
15.993276,18,4115.293737
5.768759,8,4118.052629
6.034566,9,4121.152877
3.957198,5,4122.924162
19.963852,22,4130.525512
17.277194,18,4136.786617
0.851413,2,4137.49104
10.318595,12,4141.688165
3.20231,5,4143.447936
13.446468,16,4148.994055
4.08539,6,4151.133175
4.082819,6,4153.238441
